ra,dec,frequency,flux,flux_err,upper_limit
45.26542,34.68361,2.420E+25,4.190E-13,0.000E+00,UL
45.87542,5.90833,2.420E+23,2.040E-13,0.000E+00,UL
45.87542,5.90833,4.110E+23,1.670E-13,0.000E+00,UL
45.87542,5.90833,7.250E+23,1.440E-13,0.000E+00,UL
45.87542,5.90833,1.210E+24,5.107E-14,4.114E-14,
45.87542,5.90833,2.418E+24,1.973E-13,9.792E-14,
45.87542,5.90833,4.110E+24,2.696E-13,1.235E-13,
45.87542,5.90833,7.250E+24,5.382E-13,2.500E-13,
45.87542,5.90833,1.210E+25,5.528E-13,3.100E-13,
45.87542,5.90833,2.420E+25,4.190E-13,0.000E+00,UL
46.14125,-0.90111,2.420E+23,2.800E-13,1.473E-13,
46.14125,-0.90111,4.110E+23,2.538E-13,9.502E-14,
46.14125,-0.90111,7.250E+23,2.530E-13,7.455E-14,
46.14125,-0.90111,1.210E+24,2.611E-13,8.837E-14,
46.14125,-0.90111,2.418E+24,2.936E-13,1.064E-13,
46.14125,-0.90111,4.110E+24,2.158E-13,1.253E-13,
46.14125,-0.90111,7.250E+24,4.638E-13,2.300E-13,
46.14125,-0.90111,1.210E+25,3.104E-13,2.100E-13,
46.14125,-0.90111,2.420E+25,5.227E-13,3.000E-13,
46.43375,40.58611,2.420E+23,1.301E-13,1.171E-13,
46.43375,40.58611,4.110E+23,1.470E-13,7.612E-14,
46.43375,40.58611,7.250E+23,1.047E-13,6.181E-14,
46.43375,40.58611,1.210E+24,9.245E-14,6.302E-14,
46.43375,40.58611,2.418E+24,1.031E-13,9.462E-14,
46.43375,40.58611,4.110E+24,1.640E-13,0.000E+00,UL
46.43375,40.58611,7.250E+24,2.030E-13,0.000E+00,UL
46.43375,40.58611,1.210E+25,2.570E-13,0.000E+00,UL
46.43375,40.58611,2.420E+25,4.190E-13,0.000E+00,UL
47.76333,-44.04111,2.420E+23,2.040E-13,0.000E+00,UL
47.76333,-44.04111,4.110E+23,1.227E-13,6.058E-14,
47.76333,-44.04111,7.250E+23,1.440E-13,0.000E+00,UL
47.76333,-44.04111,1.210E+24,1.390E-13,0.000E+00,UL
47.76333,-44.04111,2.418E+24,8.701E-14,4.544E-14,
47.76333,-44.04111,4.110E+24,2.006E-13,1.005E-13,
47.76333,-44.04111,7.250E+24,2.375E-13,1.468E-13,
47.76333,-44.04111,1.210E+25,2.570E-13,0.000E+00,UL
47.76333,-44.04111,2.420E+25,4.190E-13,0.000E+00,UL
48.59958,6.33222,2.420E+23,1.514E-13,1.343E-13,
48.59958,6.33222,4.110E+23,2.945E-13,1.906E-13,
48.59958,6.33222,7.250E+23,5.004E-13,1.136E-13,
48.59958,6.33222,1.210E+24,5.944E-13,1.182E-13,
48.59958,6.33222,2.418E+24,6.113E-13,1.566E-13,
48.59958,6.33222,4.110E+24,4.912E-13,1.741E-13,
48.59958,6.33222,7.250E+24,5.782E-13,2.194E-13,
48.59958,6.33222,1.210E+25,6.664E-13,2.535E-13,
48.59958,6.33222,2.420E+25,5.777E-13,5.082E-13,
50.03833,-70.75917,2.420E+23,1.392E-13,1.096E-13,
50.03833,-70.75917,4.110E+23,1.204E-13,5.975E-14,
50.03833,-70.75917,7.250E+23,1.363E-13,4.958E-14,
50.03833,-70.75917,1.210E+24,1.911E-13,6.928E-14,
50.03833,-70.75917,2.418E+24,2.767E-13,8.513E-14,
50.03833,-70.75917,4.110E+24,2.533E-13,1.122E-13,
50.03833,-70.75917,7.250E+24,2.030E-13,0.000E+00,UL
50.03833,-70.75917,1.210E+25,2.570E-13,0.000E+00,UL
50.03833,-70.75917,2.420E+25,4.190E-13,0.000E+00,UL
50.15833,11.41444,2.420E+23,2.583E-13,1.900E-13,
50.15833,11.41444,4.110E+23,1.670E-13,0.000E+00,UL
50.15833,11.41444,7.250E+23,2.669E-13,9.972E-14,
50.15833,11.41444,1.210E+24,2.321E-13,9.985E-14,
50.15833,11.41444,2.418E+24,1.718E-13,1.032E-13,
50.15833,11.41444,4.110E+24,1.640E-13,0.000E+00,UL
50.15833,11.41444,7.250E+24,2.030E-13,0.000E+00,UL
50.15833,11.41444,1.210E+25,2.570E-13,0.000E+00,UL
50.15833,11.41444,2.420E+25,4.190E-13,0.000E+00,UL
50.23458,4.41333,2.420E+23,6.715E-13,2.886E-13,
50.23458,4.41333,4.110E+23,2.576E-13,1.246E-13,
50.23458,4.41333,7.250E+23,2.233E-13,8.838E-14,
50.23458,4.41333,1.210E+24,2.086E-13,8.529E-14,
50.23458,4.41333,2.418E+24,1.276E-13,9.086E-14,
50.23458,4.41333,4.110E+24,1.640E-13,0.000E+00,UL
50.23458,4.41333,7.250E+24,2.030E-13,0.000E+00,UL
50.23458,4.41333,1.210E+25,2.570E-13,0.000E+00,UL
50.23458,4.41333,2.420E+25,4.190E-13,0.000E+00,UL
51.69708,-34.07972,2.420E+23,4.060E-13,1.411E-13,
51.69708,-34.07972,4.110E+23,4.038E-13,8.229E-14,
51.69708,-34.07972,7.250E+23,3.905E-13,7.301E-14,
51.69708,-34.07972,1.210E+24,2.710E-13,7.214E-14,
51.69708,-34.07972,2.418E+24,2.164E-13,9.307E-14,
51.69708,-34.07972,4.110E+24,2.521E-13,1.134E-13,
51.69708,-34.07972,7.250E+24,1.896E-13,1.156E-13,
51.69708,-34.07972,1.210E+25,1.634E-13,8.804E-14,
51.69708,-34.07972,2.420E+25,4.190E-13,0.000E+00,UL
52.21917,-57.26806,2.420E+23,2.040E-13,0.000E+00,UL
52.21917,-57.26806,4.110E+23,1.670E-13,0.000E+00,UL
52.21917,-57.26806,7.250E+23,1.440E-13,0.000E+00,UL
52.21917,-57.26806,1.210E+24,9.705E-14,5.798E-14,
52.21917,-57.26806,2.418E+24,2.723E-13,9.249E-14,
52.21917,-57.26806,4.110E+24,3.920E-13,1.220E-13,
52.21917,-57.26806,7.250E+24,4.127E-13,1.759E-13,
52.21917,-57.26806,1.210E+25,2.620E-13,1.997E-13,
52.21917,-57.26806,2.420E+25,4.190E-13,0.000E+00,UL
54.09875,-3.79389,2.420E+23,1.033E-13,1.376E-13,
54.09875,-3.79389,4.110E+23,1.315E-13,9.631E-14,
54.09875,-3.79389,7.250E+23,1.502E-13,6.491E-14,
54.09875,-3.79389,1.210E+24,1.140E-13,6.684E-14,
54.09875,-3.79389,2.418E+24,1.687E-13,8.522E-14,
54.09875,-3.79389,4.110E+24,2.227E-13,1.355E-13,
54.09875,-3.79389,7.250E+24,3.420E-13,1.757E-13,
54.09875,-3.79389,1.210E+25,4.892E-13,2.588E-13,
54.09875,-3.79389,2.420E+25,4.190E-13,0.000E+00,UL
54.63333,-57.08,2.420E+23,2.040E-13,0.000E+00,UL
54.63333,-57.08,4.110E+23,1.132E-13,6.750E-14,
54.63333,-57.08,7.250E+23,1.260E-13,4.762E-14,
54.63333,-57.08,1.210E+24,1.193E-13,4.985E-14,
54.63333,-57.08,2.418E+24,7.016E-14,5.544E-14,
54.63333,-57.08,4.110E+24,1.012E-13,6.744E-14,
54.63333,-57.08,7.250E+24,8.381E-14,6.770E-14,
54.63333,-57.08,1.210E+25,1.155E-13,8.200E-14,
54.63333,-57.08,2.420E+25,4.190E-13,0.000E+00,UL
59.73375,-30.91306,2.420E+23,2.721E-13,1.324E-13,
59.73375,-30.91306,4.110E+23,2.583E-13,7.570E-14,
59.73375,-30.91306,7.250E+23,2.733E-13,6.641E-14,
59.73375,-30.91306,1.210E+24,3.075E-13,7.665E-14,
59.73375,-30.91306,2.418E+24,3.283E-13,1.066E-13,
59.73375,-30.91306,4.110E+24,3.141E-13,1.353E-13,
59.73375,-30.91306,7.250E+24,3.198E-13,1.758E-13,
59.73375,-30.91306,1.210E+25,2.499E-13,1.224E-13,
59.73375,-30.91306,2.420E+25,4.190E-13,0.000E+00,UL
62.80125,-39.69528,2.420E+23,2.040E-13,0.000E+00,UL
62.80125,-39.69528,4.110E+23,1.670E-13,0.000E+00,UL
62.80125,-39.69528,7.250E+23,1.440E-13,0.000E+00,UL
62.80125,-39.69528,1.210E+24,1.134E-13,5.482E-14,
62.80125,-39.69528,2.418E+24,1.457E-13,7.021E-14,
62.80125,-39.69528,4.110E+24,1.256E-13,8.296E-14,
62.80125,-39.69528,7.250E+24,2.030E-13,0.000E+00,UL
62.80125,-39.69528,1.210E+25,2.570E-13,0.000E+00,UL
62.80125,-39.69528,2.420E+25,4.190E-13,0.000E+00,UL
63.16,-39.44139,2.420E+23,2.040E-13,0.000E+00,UL
63.16,-39.44139,4.110E+23,1.670E-13,0.000E+00,UL
63.16,-39.44139,7.250E+23,1.132E-13,5.083E-14,
63.16,-39.44139,1.210E+24,1.005E-13,5.338E-14,
63.16,-39.44139,2.418E+24,1.104E-13,6.554E-14,
63.16,-39.44139,4.110E+24,1.640E-13,0.000E+00,UL
63.16,-39.44139,7.250E+24,2.030E-13,0.000E+00,UL
63.16,-39.44139,1.210E+25,2.570E-13,0.000E+00,UL
63.16,-39.44139,2.420E+25,4.190E-13,0.000E+00,UL
67.25042,-32.61139,2.420E+23,1.668E-13,9.573E-14,
67.25042,-32.61139,4.110E+23,2.127E-13,7.469E-14,
67.25042,-32.61139,7.250E+23,2.298E-13,6.177E-14,
67.25042,-32.61139,1.210E+24,2.370E-13,7.886E-14,
67.25042,-32.61139,2.418E+24,1.706E-13,8.445E-14,
67.25042,-32.61139,4.110E+24,9.908E-14,8.000E-14,
67.25042,-32.61139,7.250E+24,2.030E-13,0.000E+00,UL
67.25042,-32.61139,1.210E+25,2.570E-13,0.000E+00,UL
67.25042,-32.61139,2.420E+25,4.190E-13,0.000E+00,UL
68.82375,-26.35611,2.420E+23,3.257E-13,1.713E-13,
68.82375,-26.35611,4.110E+23,2.090E-13,7.633E-14,
68.82375,-26.35611,7.250E+23,1.509E-13,6.128E-14,
68.82375,-26.35611,1.210E+24,1.027E-13,5.511E-14,
68.82375,-26.35611,2.418E+24,1.310E-13,7.047E-14,
68.82375,-26.35611,4.110E+24,1.178E-13,8.357E-14,
68.82375,-26.35611,7.250E+24,2.030E-13,0.000E+00,UL
68.82375,-26.35611,1.210E+25,2.570E-13,0.000E+00,UL
68.82375,-26.35611,2.420E+25,4.190E-13,0.000E+00,UL
70.36417,15.08194,2.420E+23,4.464E-13,2.868E-13,
70.36417,15.08194,4.110E+23,4.897E-13,1.892E-13,
70.36417,15.08194,7.250E+23,4.270E-13,1.224E-13,
70.36417,15.08194,1.210E+24,4.021E-13,1.189E-13,
70.36417,15.08194,2.418E+24,4.676E-13,1.352E-13,
70.36417,15.08194,4.110E+24,4.221E-13,1.525E-13,
70.36417,15.08194,7.250E+24,5.167E-13,2.110E-13,
70.36417,15.08194,1.210E+25,3.221E-13,2.239E-13,
70.36417,15.08194,2.420E+25,4.190E-13,0.000E+00,UL
70.66917,61.6775,2.420E+23,5.712E-13,2.931E-13,
70.66917,61.6775,4.110E+23,5.113E-13,1.403E-13,
70.66917,61.6775,7.250E+23,4.912E-13,9.502E-14,
70.66917,61.6775,1.210E+24,5.370E-13,1.045E-13,
70.66917,61.6775,2.418E+24,6.248E-13,1.280E-13,
70.66917,61.6775,4.110E+24,5.423E-13,1.528E-13,
70.66917,61.6775,7.250E+24,9.203E-13,2.222E-13,
70.66917,61.6775,1.210E+25,8.812E-13,2.564E-13,
70.66917,61.6775,2.420E+25,9.372E-13,4.352E-13,
70.86833,-41.86556,2.420E+23,8.857E-14,9.017E-14,
70.86833,-41.86556,4.110E+23,1.308E-13,7.573E-14,
70.86833,-41.86556,7.250E+23,1.961E-13,6.593E-14,
70.86833,-41.86556,1.210E+24,2.397E-13,6.645E-14,
70.86833,-41.86556,2.418E+24,3.413E-13,1.046E-13,
70.86833,-41.86556,4.110E+24,2.542E-13,1.219E-13,
70.86833,-41.86556,7.250E+24,2.769E-13,6.728E-14,
70.86833,-41.86556,1.210E+25,2.529E-13,1.034E-13,
70.86833,-41.86556,2.420E+25,4.190E-13,0.000E+00,UL
75.8975,-11.25167,2.420E+23,4.293E-13,1.544E-13,
75.8975,-11.25167,4.110E+23,4.803E-13,1.077E-13,
75.8975,-11.25167,7.250E+23,4.577E-13,9.108E-14,
75.8975,-11.25167,1.210E+24,4.413E-13,9.927E-14,
75.8975,-11.25167,2.418E+24,5.220E-13,1.298E-13,
75.8975,-11.25167,4.110E+24,7.049E-13,1.869E-13,
75.8975,-11.25167,7.250E+24,6.789E-13,2.244E-13,
75.8975,-11.25167,1.210E+25,7.509E-13,4.263E-14,
75.8975,-11.25167,2.420E+25,4.466E-13,4.404E-13,
76.08125,-9.94222,2.420E+23,2.369E-13,1.624E-13,
76.08125,-9.94222,4.110E+23,2.188E-13,9.542E-14,
76.08125,-9.94222,7.250E+23,1.567E-13,7.188E-14,
76.08125,-9.94222,1.210E+24,1.390E-13,0.000E+00,UL
76.08125,-9.94222,2.418E+24,1.450E-13,0.000E+00,UL
76.08125,-9.94222,4.110E+24,1.012E-13,6.831E-14,
76.08125,-9.94222,7.250E+24,1.512E-13,1.181E-13,
76.08125,-9.94222,1.210E+25,2.570E-13,0.000E+00,UL
76.08125,-9.94222,2.420E+25,4.190E-13,0.000E+00,UL
76.50667,-38.34861,2.420E+23,3.683E-13,2.442E-14,
76.50667,-38.34861,4.110E+23,3.785E-13,8.157E-14,
76.50667,-38.34861,7.250E+23,4.049E-13,5.685E-14,
76.50667,-38.34861,1.210E+24,4.091E-13,3.899E-14,
76.50667,-38.34861,2.418E+24,3.583E-13,1.204E-13,
76.50667,-38.34861,4.110E+24,2.609E-13,1.165E-13,
76.50667,-38.34861,7.250E+24,2.030E-13,0.000E+00,UL
76.50667,-38.34861,1.210E+25,2.570E-13,0.000E+00,UL
